TRNO,Cultivar,EC,Date,DAP,Tank Vol (L),No. Plants,TN (mg/L),NH4 (mg/L),NO3 (mg/L),P (mg/L),K (mg/L),N_%_Shoot,N_%_Root,P_%_Shoot,P_%_Root,K_%_Shoot,K_%_Root,N_initial (g),P_initial (g),K_initial (g),A+B (mL),HNO3 (mL),KOH (mL),N_A+B (g),N_HNO3 (g),N_tot (g),N_cumul (g),DryRW (g),InFRtW (g),InDSM (g),InDRtW (g),TFW (g),SFW (g),RFW (g),SDW (g),RDW (g),CWAD (kg/ha),RWAD (kg/ha)
1,REX,1.2,22259,35.0,40.0,17.0,132.01999999999998,0.95,86.37283019,71.096636975,82.5,0.038275,0.03,0.0127999999999999,0.00675,0.09485,0.04,0.0,0.0,0.0,102.1,4.25,0.0,0.3650840749999999,0.1785,0.543584075,15.1811796625,0.8946,26.772,9.265,1.6904,,,,,,,
2,MUIR,1.2,22106,8.0,40.0,24.0,114.115,,,29.495,193.05,0.0387,0.0247,0.0060999999999999,0.0042,0.0542,0.02625,4.6564,1.204,7.722,478.75,78.5,0.0,,,,,1.1502,,0.0,0.0448999999999991,1.0,1.0,1.0,1.0,1.0,127.0,127.0
2,MUIR,1.2,22108,12.0,40.0,24.0,114.115,6.48635,107.6282,29.495,193.5545,0.0387,0.0247,0.0060999999999999,0.0042,0.0542,0.02625,0.0,0.0,0.0,1.5,0.25,1.0,,,,,1.1502,,0.0,0.0,15.84,0.04,15.8,10.77,12.26,1367.79,1557.02
2,MUIR,1.2,22110,14.0,40.0,21.0,113.78,6.1265,107.653,29.32,189.643,0.0387,0.0247,0.0060999999999999,0.0042,0.0542,0.02625,0.0,0.0,0.0,5.25,0.0,0.75,,,,,1.1502,,0.0,0.0,16.68,0.91,15.77,10.6,11.89,1346.2,1510.03
2,MUIR,1.2,22112,16.0,40.0,21.0,114.045,5.4252,108.6131,29.695,191.8875,0.0387,0.0247,0.0078499999999999,0.0042,0.0671499999999999,0.02625,0.0,0.0,0.0,3.0,0.0,3.25,,,,,1.1502,,0.0,0.026783333333333,40.52,17.96,22.56,11.44,11.97,1452.88,1520.19
2,MUIR,1.2,22115,19.0,40.0,21.0,113.915,3.3756,110.5429,29.185,186.9,0.0366,0.0247,0.0067999999999999,0.0042,0.0671499999999999,0.02625,0.0,0.0,0.0,9.0,0.0,3.75,,,,,1.0224,,0.0124999999999993,0.0712999999999995,117.56,86.51,31.05,14.23,12.19,1807.21,1548.13
2,MUIR,1.2,22117,21.0,40.0,18.0,105.645,1.07015,104.573,27.115,182.8905,0.0345,0.0247,0.00575,0.0042,0.061375,0.02625,0.0,0.0,0.0,231.25,0.0,6.75,,,,,1.0224,,0.0699999999999984,0.1425999999999991,268.96,229.29,39.67,18.87,12.88,2396.49,1635.76
2,MUIR,1.2,22119,23.0,40.0,18.0,86.575,0.10625,86.4685,23.975,144.779,0.03605,0.0247,0.0103,0.0042,0.0556,0.02625,0.0,0.0,0.0,25.75,8.75,0.0,,,,,1.0224,,1.2403999999999995,0.1574249999999996,,,,,,,
2,MUIR,1.2,22122,26.0,40.0,18.0,105.93,0.1476,105.7776,26.41,159.9795,0.035975,0.0247,0.0099499999999999,0.0042,0.0923,0.02625,0.0,0.0,0.0,42.25,32.75,0.0,,,,,1.0224,,2.335249999999999,0.1735500000000002,,,,1.0,1.0,127.0,127.0
2,MUIR,1.2,22124,28.0,40.0,15.0,94.03,0.04315,93.9874,22.655,107.0655,0.0359,0.0247,0.0095999999999999,0.0042,0.09325,0.02625,0.0,0.0,0.0,31.75,32.0,0.0,,,,,1.0224,,3.570833333333333,0.2142666666666672,,,,0.0001,1.1566666666666665,0.01,146.9
